0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
1255,S,EDrxProfileIndex,,,4,1,0,4,7,9,0,0,0,0,1,0,0,""
1265,S,TOaMCounterGroup,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1266,S,SQciTabNbrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1269,S,SQciTabNbrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1272,S,TQciTabMaxGbrDl,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1273,S,TQciTabMaxGbrUl,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1274,S,TQciTabL2OHFactorDL,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1275,S,TQciTabL2OHFactorUL,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1276,S,TQciTabEnforceTtiBundling,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1277,S,ELteNrDualConnectSupport,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
1280,S,TNrPdcpProfId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1281,S,SQciTab,,,17,0,0,156,0,37,37,0,0,0,1,0,0,""
1319,S,TAmRlcPbTabUeCategory,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1320,S,EAmRlcPbTabPollByte,,,4,1,0,4,4,15,0,0,0,0,1,0,0,""
1336,S,SAmRlcPbTab,,,17,0,0,12,0,3,3,0,0,0,1,0,0,""
1340,S,TOaMDefProfIdxAM,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1341,S,TOaMDefProfIdxUM,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1342,S,EOaMLnbtsRlcProf1MaxRetxThresh,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
1352,S,EOaMLnbtsRlcProf1PollPdu,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1361,S,TOaMLnbtsRlcProf1RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1362,S,EOaMLnbtsRlcProf1TPollRetr,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
1418,S,SOaMLnbtsRlcProf1TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1421,S,EOaMLnbtsRlcProf1TPollRetrDl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
1477,S,SOaMLnbtsRlcProf1TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1480,S,EOaMLnbtsRlcProf1TPollRetrUl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
1536,S,SOaMLnbtsRlcProf1TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
