0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
791,F,SDcmCellPoolContainer,thSCellActivationUl1,EThSCellActivationUl1,4,1,12,4,0,32,0,1,0,1,1,0,656,""
792,F,SDcmCellPoolContainer,thSCellActivationUl2,EThSCellActivationUl2,4,1,16,4,0,24,0,1,0,1,1,0,689,""
793,F,SDcmCellPoolContainer,timerProhibitActivationCommand,ETimerProhibitActivationCommand,4,1,20,4,0,23,0,1,0,1,1,0,714,""
794,F,SDcmCellPoolContainer,timerSCellCqiCheck,ETimerSCellCqiCheck,4,1,24,4,0,14,0,1,0,1,1,0,738,""
795,F,SDcmCellPoolContainer,fdEstimationUsage,EFDEstimationUsageDcm,4,1,28,4,0,3,0,1,0,1,1,0,753,""
796,F,SDcmCellPoolContainer,dlChBw,ECarrierBandwidth,4,1,32,4,0,11,0,1,0,1,1,0,757,""
797,F,SDcmCellPoolContainer,sCellType,ESCellType,4,1,36,4,0,2,0,1,0,1,1,0,769,""
798,F,SDcmCellPoolContainer,cqiRef,TCqiDefaultDlDcm,2,0,40,2,0,0,0,0,0,1,1,0,772,""
799,F,SDcmCellPoolContainer,padding,,2,0,42,2,0,0,0,0,0,1,0,0,0,""
800,F,SDcmCellPoolContainer,flagSCellSchedulingUlTable,,14,0,44,64,0,4,0,0,0,1,1,0,0,""
801,F,SDcmCellPoolContainer,flagSCellSchedulingUlTable,SFlagSCellSchedulingUlTable,17,0,0,16,0,1,0,0,0,2,1,0,774,""
802,F,SDcmCellPoolContainer,flagSCellSchedulingDlTable,,14,0,108,64,0,16,0,0,0,1,1,0,0,""
803,F,SDcmCellPoolContainer,flagSCellSchedulingDlTable,SFlagSCellSchedulingDlTable,17,0,0,4,0,1,0,0,0,2,1,0,777,""
804,F,SDcmCellPoolContainer,l2Addresses,SMacPsL2Addresses,17,0,172,584,0,11,0,0,0,1,1,0,568,""
805,F,SDcmCellPoolContainer,numOfaddress,TNumberOfItems,4,0,756,4,0,0,0,0,0,1,1,0,427,""
806,F,SDcmCellPoolContainer,macPsAddresses,,14,0,760,1024,0,256,0,0,0,1,1,0,0,""
807,F,SDcmCellPoolContainer,macPsAddresses,,4,0,0,4,0,0,0,0,0,2,0,0,0,""
808,F,SDcmCellPoolContainer,hasFrameConfTdd,TBoolean,4,0,1784,4,0,0,0,0,0,1,1,0,457,""
